"x"
"ADPRHL2"
"APEX2"
"ARL6IP1"
"ASB13"
"AURKA"
"AURKB"
"BIRC5"
"BRD8"
"BUB3"
"CALML4"
"CCNE2"
"CCNF"
"CDC20"
"CDC6"
"CDCA5"
"CDK1"
"CHEK2"
"CKAP2"
"CKAP2L"
"CKS2"
"CSTF1"
"DEPDC1"
"DPAGT1"
"DSN1"
"DYRK3"
"ECT2"
"EHMT1"
"ESCO2"
"EZH2"
"FAM64A"
"FBXO5"
"FIGNL1"
"G2E3"
"GMNN"
"GTF2H3"
"GTSE1"
"HIST1H4C"
"HJURP"
"HMMR"
"IKBKAP"
"INTS10"
"IRF9"
"KIF23"
"KIF2C"
"KNSTRN"
"KPNA2"
"MELK"
"MTA3"
"NCAPH"
"NDC80"
"NEIL3"
"NUF2"
"NUP62CL"
"NUSAP1"
"PLK1"
"POLA2"
"PPARG"
"PRTFDC1"
"RAD54L"
"RNF126"
"RRM2"
"SGO2"
"SIPA1L1"
"SPDL1"
"SRGAP2"
"SYBU"
"TACC3"
"TECR"
"TERF1"
"TRIM28"
"TUBA1C"
"TUBD1"
"UBE2C"
"UBE2T"
"ZMYM1"
