"x"
"ANXA5"
"ASF1B"
"AURKB"
"CCNA2"
"CCNB2"
"CCNE2"
"CDK1"
"CKAP2L"
"FAM111B"
"GTSE1"
"HIST1H4C"
"HJURP"
"HMGB2"
"KIF23"
"KPNA2"
"PCNA"
"RAVER1"
"RSL1D1"
"SNHG19"
"SNHG3"
"TRMT10C"
"UBE2C"
